Word,Pinyin,POS,Translation
花2,huā,noun、 (adjective),flower; (colorful)
画,huà,verb、noun,"to draw, to paint; painting, picture"
坏,huài,adjective,"bad, broken"
回来,huílái,verb,to come back
回去,huíqù,verb,to go back
机场,jīchǎng,noun,airport
机票,jīpiào,noun,airplane ticket
记得,jìde,verb,to remember
间,jiān,classifier、 (noun),measure word for rooms; between
教,jiāo,verb,to teach
教室,jiàoshì,noun,classroom
介绍,jièshào,verb,to introduce
进,jìn,verb,to enter
近,jìn,adjective,"near, close"
进来,jìnlái,verb,to come in
进去,jìnqù,verb,to go in
经常,jīngcháng,adverb,often
酒店,jiǔdiàn,noun,hotel
就,jiù,adverb、 (preposition),"just, then; (as early as, only, as soon as)"
咖啡,kāfēi,noun,coffee
开始,kāishǐ,verb、noun,to start; beginning
开学,kāixué,verb,school starts
考,kǎo,verb,"to test, to take an exam"
考试,kǎoshì,verb、noun,to take an exam; exam
可能,kěnéng,adjective、noun、 verb,possible; possibility; may
裤子,kùzi,noun,pants
快,kuài,adjective、adverb,"fast; soon, quickly"
快乐,kuàilè,adjective,"happy, joyful"
快要,kuàiyào,adverb,"soon, almost"
篮球,lánqiú,noun,basketball
累,lèi,adjective、verb,tired; to tire
离,lí,verb,"to leave, to be away from"
里面,lǐmiàn,noun,inside
楼,lóu,noun,"building, floor"
路,lù,noun,"road, path"
路上,lùshang,noun,on the road
旅游,lǚyóu,verb,to travel
绿茶,lǜchá,noun,green tea
绿色,lǜsè,noun、 (adjective),green color; (green)
慢,màn,adjective,slow
没意思,méi yìsi,,"boring, uninteresting"
每,měi,pronoun、 (adverb),"every, each; (per)"
门,mén,noun,"door, gate"
门又,ménkǒu,noun,"doorway, entrance"
门票,ménpiào,noun,ticket
面,miàn,suffix、(verb、 noun、classifier),"suffix indicating a person with a certain characteristic; (to face; side, aspect; measure word for flat objects)"
名,míng,noun、classifier,"name, reputation; measure word for people"
拿,ná,verb,"to take, to hold"
那么,nàme,pronoun、 conjunction,"so, like that; then"
那样,nàyàng,pronoun,like that
奶茶,nǎichá,noun,milk tea
奶奶,nǎinai,noun,grandmother
男孩儿,nánháir,noun,boy
鸟,niǎo,noun,bird
女孩儿,nǚháir,noun,girl
旁边,pángbiān,noun,side
跑,pǎo,verb,to run
跑步,pǎobù,verb,"to run, jogging"
票,piào,noun,ticket
妻子,qīzi,noun,wife
起来,qǐlái,verb,"to get up, to stand up; used after verbs to indicate upward movement or beginning"
前面,qiánmiàn,noun,front
晴,qíng,adjective,"sunny, clear"
球,qiú,noun,"ball, sphere"
让,ràng,verb、 (preposition),"to let, to allow; (by)"
肉,ròu,noun,meat
商场,shāngchǎng,noun,shopping mall
上来,shànglái,verb,to come up
上面,shàngmiàn,noun,"above, top"
上去,shàngqù,verb,to go up
上网,shàngwǎng,verb,"to go online, to surf the Internet"
身体,shēntǐ,noun,body
生日,shēngrì,noun,birthday
时,shí,noun、 (classifier),"time, moment; (season, period)"
事情,shìqing,noun,"matter, affair"
手,shǒu,noun,hand
手表,shǒubiǎo,noun,"watch, wristwatch"
书包,shūbāo,noun,"backpack, schoolbag"
舒服,shūfu,adjective,comfortable
送,sòng,verb,"to give, to send, to see off"
虽然,suīrán,conjunction,although
所以,suǒyǐ,conjunction,"so, therefore"
疼,téng,adjective、 (verb),"painful, sore; (to hurt)"
踢,tī,verb,to kick
题,tí,noun,"question, problem, topic"
条,tiáo,classifier、 (noun),"measure word for long, thin, or strip-like objects; (clause, item)"
跳舞,tiàowǔ,verb,to dance
头,tóu,noun、 (classifier)、 (adjective),head; (measure word for animals); (first)
外国,wàiguó,noun,foreign country
外面,wàimiàn,noun,outside
完,wán,verb,to finish
万,wàn,number,ten thousand
往,wǎng,verb、preposition,to go; toward
网上,wǎngshang,noun,online
忘,wàng,verb,to forget
位,wèi,classifier,measure word for people
为什么,wèi shénme,,why
希望,xīwàng,verb,to hope
洗,xǐ,verb,to wash
洗手间,xǐshǒujiān,noun,"restroom, toilet"
下来,xiàlái,verb,to come down
下面,xiàmiàn,noun,"below, under"
下去,xiàqù,verb,to go down
小孩儿,xiǎoháir,noun,"child, little kid"
小时候,xiǎoshíhou,noun,childhood
笑,xiào,verb,"to laugh, to smile"
姓,xìng,noun、verb,surname; to be surnamed
姓名,xìngmíng,noun,full name
颜色,yánsè,noun,color
眼睛,yǎnjing,noun,eye
药,yào,noun,"medicine, drug"
药店,yàodiàn,noun,pharmacy
爷爷,yéye,noun,grandfather
一会儿,yíhuìr,numberclassifier、 (adverb),"a while, a moment; (soon, in a little while)"
已经,yǐjīng,adverb,already
一起,yìqǐ,adverb,together
意思,yìsi,noun,"meaning, idea"
阴,yīn,adjective,cloudy
因为,yīnwèi,preposition、 conjunction,because; because of
游,yóu,verb,to swim
游泳,yóuyǒng,verb,to swim
有意思,yǒu yìsi,,"interesting, enjoyable"
有时,yǒushí,adverb,sometimes
右,yòu,noun,right
右边,yòubian,noun,right side
鱼,yú,noun,fish
远,yuǎn,adjective,far
运动,yùndòng,verb、noun,"to move, to exercise; sports, exercise"
站,zhàn,noun,"station, stop; to stand"
丈夫,zhàngfu,noun,husband
这么,zhème,pronoun,"so, such, like this"
这样,zhèyàng,pronoun,"like this, so"
着,zhe,auxiliary,particle indicating ongoing action or state
正,zhèng,adverb、 (adjective),"just, exactly, right; (straight)"
周,zhōu,noun、 (classifier),"week; (measure word for circumference, cycle)"
准备,zhǔnbèi,verb,to prepare
自己,zìjǐ,pronoun,oneself
走,zǒu,verb,to walk
走路,zǒulù,verb,to walk
足球,zúqiú,noun,"soccer, football"
最,zuì,adverb,"most, -est"
左,zuǒ,noun,left
左边,zuǒbian,noun,left side
