Word,Pinyin,POS,Translation
传说,chuánshuō,verb、noun,"it is said; legend, tradition"
传统,chuántǒng,noun、adjective,tradition; traditional
窗台,chuāngtái,noun,windowsill
床单,chuángdān,noun,bedsheet
创新,chuàngxīn,verb、noun,to innovate; innovation
创业,chuàngyè,verb,to start a business
创造,chuàngzào,verb,to create
创作,chuàngzuò,verb、noun,to create; creation
词汇,cíhuì,noun,vocabulary
辞职,cízhí,verb,to resign from a job
此后,cǐhòu,noun,after this
此前,cǐqián,noun,before this
此时,cǐshí,noun,at this moment
刺激,cìjī,verb、noun,to stimulate; stimulus
从不,cóng bù,,never
从而,cóng’ér,conjunction,"thus, thereby"
从前,cóngqián,noun,"formerly, before"
从事,cóngshì,verb,"to engage in, to pursue"
促进,cùjìn,verb,"to promote, to advance"
促使,cùshǐ,verb,"to urge, to prompt"
促销,cùxiāo,verb,to promote (sales)
催,cuī,verb,"to urge, to hurry"
存放,cúnfàng,verb,"to deposit, to store"
存款,cúnkuǎn,verb、noun,to deposit money; deposit
存在,cúnzài,verb,to exist
措施,cuòshī,noun,"measure, step"
达成,dáchéng,verb,"to reach, to accomplish"
打扮,dǎban,verb,"to dress up, to disguise"
打包,dǎbāo,verb,"to pack, to take out"
打断,dǎduàn,verb,to interrupt
打破,dǎpò,verb,to break
打听,dǎting,verb,to ask about
大胆,dàdǎn,adjective,"bold, daring"
大多,dàduō,adverb,mostly
大会,dàhuì,noun,"general meeting, conference"
大力,dàlì,noun、adverb,"great strength; vigorously, with great effort"
大妈,dàmā,noun,"aunt, middle-aged woman"
大米,dàmǐ,noun,rice
大脑,dànǎo,noun,brain
大批,dàpī,adjective,large batch
大厦,dàshà,noun,"mansion, building"
大事,dàshì,noun,important matter
大象,dàxiàng,noun,elephant
大型,dàxíng,adjective,large-scale
大爷,dàye,noun,"uncle, elderly man"
大于,dàyú,verb,to be greater than
大众,dàzhòng,noun,"the masses, public"
代,dài,verb、noun,to represent; generation
代表,dàibiǎo,noun、verb,representative; to represent
带动,dàidòng,verb,"to drive, to bring about"
代替,dàitì,verb,to replace
待遇,dàiyù,noun,"treatment, salary"
单,dān,adjective、 adverb、noun、,"single; alone; bill, list; measure word"
单独,dāndú,adverb,"alone, separately"
担任,dānrèn,verb,to hold the position of
单一,dānyī,adjective,"single, singular"
单元,dānyuán,noun,unit
胆小,dǎnxiǎo,adjective,"timid, cowardly"
淡,dàn,adjective,"light, weak, bland"
当地,dāngdì,noun,local area
当年,dāngnián,noun,"that year, those days"
当前,dāngqián,verb、noun,"to face; current, present"
当中,dāngzhōng,noun,"among, in the middle"
挡,dǎng,verb,to block
当,dàng,verb,"to treat as, to regard as; to serve as"
当成,dàngchéng,verb,"to treat as, to regard as"
当作,dàngzuò,verb,"to treat as, to regard as, to consider as"
倒,dǎo,verb,"to fall, to collapse"
导演,dǎoyǎn,verb、noun,director; to direct
导致,dǎozhì,verb,"to cause, to lead to; director"
到达,dàodá,verb,to arrive
道理,dàolǐ,noun,"reason, principle"
到期,dàoqī,verb,to expire
登,dēng,verb,"to ascend, to board, to register"
灯光,dēngguāng,noun,light
登记,dēngjì,verb,"to register, to record"
登录,dēnglù,verb,to log in
等待,děngdài,verb,to wait
等候,děnghòu,verb,to wait
等于,děngyú,verb,to be equal to
低头,dītóu,verb,to lower one's head
的确,díquè,adverb,"indeed, certainly"
敌人,dírén,noun,enemy
递,dì,verb,"to pass, to hand over"
地理,dìlǐ,noun,geography
地面,dìmiàn,noun,"ground, floor"
地区,dìqū,noun,"region, area"
地位,dìwèi,noun,"status, position"
地下,dìxià,noun、adjective,"underground, basement; underground"
地震,dìzhèn,verb,to have an earthquake
点心,diǎnxin,noun,"snack, dessert"
点赞,diǎnzàn,verb,"to like, to give a thumbs-up"
电池,diànchí,noun,battery
电动,diàndòng,adjective,"electric, electrically powered"
电器,diànqì,noun,electrical appliance
电商,diànshāng,noun,e-commerce
电视台,diànshìtái,noun,television station
电子版,diànzǐbǎn,noun,electronic version
调,diào,verb,"to transfer, to move; tone"
调研,diàoyán,verb,"to investigate, to conduct research"
定期,dìngqī,verb、adjective,to fix regularly; regular
丢失,diūshī,verb,"to lose, to be missing"
冻,dòng,verb,to freeze
洞,dòng,noun,"hole, cave"
动画,dònghuà,noun,"animation, cartoon"
动人,dòngrén,adjective,"moving, touching"
动手,dòngshǒu,verb,"to start work, to take action"
豆腐,dòufu,noun,tofu
豆浆,dòujiāng,noun,soy milk
独立,dúlì,verb、adjective,to be independent; independent
独特,dútè,adjective,"unique, distinctive"
读音,dúyīn,noun,pronunciation
独自,dúzì,adverb,"alone, by oneself"
堵,dǔ,verb、adjective、,"to block, to clog; blocked; measure word for walls"
度,dù,、noun、verb、 suffix,measure word for occurrences; degree; to measure; suffix for degree
短处,duǎnchù,noun,"shortcoming, weakness"
短期,duǎnqī,noun、adjective,short term; short-term
断,duàn,verb,"to break, to cut off"
堆,duī,verb、noun、,to pile up; pile; measure word for piles
对比,duìbǐ,verb、noun,"to compare; comparison, contrast"
对待,duìdài,verb,"to treat, to handle"
对手,duìshǒu,noun,"opponent, adversary"
队伍,duìwu,noun,"team, ranks"
对象,duìxiàng,noun,"object, partner, boyfriend/girlfriend"
吨,dūn,,ton
朵,duǒ,,"measure word for flowers, clouds"
躲,duǒ,verb,"to hide, to avoid"
儿女,érnǚ,noun,"children, sons and daughters"
二手,èrshǒu,adjective,second-hand
二维码,èrwéimǎ,noun,QR code
发表,fābiǎo,verb,"to publish, to issue"
发布,fābù,verb,"to release, to announce"
发达,fādá,adjective、verb,to develop; developed
发挥,fāhuī,verb,"to bring into play, to give full play to"
发明,fāmíng,verb、noun,to invent; invention
发起,fāqǐ,verb,"to initiate, to launch"
发言,fāyán,verb、noun,to speak; speech
发音,fāyīn,verb、noun,to pronounce; pronunciation
罚,fá,verb,"to punish, to fine"
罚款,fákuǎn,verb、noun,to fine; fine
法院,fǎyuàn,noun,"court, law court"
翻,fān,verb,"to turn over, to flip"
番茄,fānqié,noun,tomato
繁荣,fánróng,adjective、verb,prosperous; to prosper
反,fǎn,adjective、verb、 adverb,opposite; to oppose; on the contrary
反而,fǎn’ér,adverb,"on the contrary, instead"
反复,fǎnfù,adverb、verb、 noun,repeatedly; to repeat; repetition
返回,fǎnhuí,verb,"to return, to turn back"
反应,fǎnyìng,verb、noun,"to react; reaction, response"
反映,fǎnyìng,verb,"to reflect, to report"
反正,fǎnzhèng,adverb,"anyway, in any case"
范围,fànwéi,noun,"scope, range"
方,fāng,adjective、noun,"square; direction, side"
方案,fāng’àn,noun,"plan, scheme"
防,fáng,verb,to prevent
房屋,fángwū,noun,"house, building"
防止,fángzhǐ,verb,to prevent
仿佛,fǎngfú,adverb,"as if, seem"
访问,fǎngwèn,verb,to visit
飞行,fēixíng,verb,to fly
飞行员,fēixíngyuán,noun,pilot
非洲,Fēizhōu,noun,Africa
分别,fēnbié,verb、adverb、 noun,to part; respectively; difference
分布,fēnbù,verb,"to distribute, to spread"
纷纷,fēnfēn,adjective、adverb,numerous and confused; one after another
分类,fēnlèi,verb,to classify
分离,fēnlí,verb,to separate
分配,fēnpèi,verb,"to allocate, to distribute"
分手,fēnshǒu,verb,"to break up, to part ways"
分析,fēnxī,verb,to analyze
分享,fēnxiǎng,verb,to share
奋斗,fèndòu,verb,"to strive, to struggle"
丰富多彩,fēngfù-duōcǎi,,rich and colorful
风格,fēnggé,noun,style
疯狂,fēngkuáng,adjective,"crazy, insane"
风俗,fēngsú,noun,"custom, tradition"
风险,fēngxiǎn,noun,risk
否定,fǒudìng,verb、adjective,to negate; negative
否认,fǒurèn,verb,to deny
夫妇,fūfù,noun,husband and wife
扶,fú,verb,to support with hand
福,fú,noun,"blessing, good fortune"
服装,fúzhuāng,noun,"clothing, apparel"
副,fù,,"measure word for pairs, sets"
富,fù,adjective,"rich, wealthy"
付出,fùchū,verb,"to pay, to give"
负担,fùdān,verb、noun,to bear; burden
妇女,fùnǚ,noun,woman
富有,fùyǒu,adjective、verb,"to possess; rich, wealthy"
复制,fùzhì,verb,"to duplicate, to copy"
改革,gǎigé,verb,"to reform, to change"
改进,gǎijìn,verb,to improve
改善,gǎishàn,verb,to improve
改天,gǎitiān,adverb,some other day
改正,gǎizhèng,verb,to correct
盖,gài,noun、verb,"lid, cover; to cover"
概括,gàikuò,verb、adjective,to summarize; general
概念,gàiniàn,noun,"concept, idea"
敢于,gǎnyú,verb,to dare to
刚好,gānghǎo,adjective、adverb,"just right, exactly; coincidentally"
高大,gāodà,adjective,"tall, lofty"
高档,gāodàng,adjective,"high-end, upscale"
高度,gāodù,noun、adjective,height; high
高级,gāojí,adjective,"advanced, high-level"
高科技,gāokējì,noun,"high technology, high-tech"
高效,gāoxiào,adjective,"efficient, high-efficiency"
搞,gǎo,verb,"to do, to make"
告别,gàobié,verb,"to bid farewell, to say goodbye"
歌词,gēcí,noun,lyrics
歌曲,gēqǔ,noun,song
隔,gé,verb,"to separate, to partition"
格外,géwài,adverb,"especially, particularly"
个别,gèbié,adverb、adjective,"individual, a few; special, exceptional"
各行各业,gèháng-gèyè,,all trades and professions
个人,gèrén,noun,"individual, personal"
个性,gèxìng,noun,"personality, individuality"
各自,gèzì,pronoun,"each, respective"
根,gēn,noun、,"root; measure word for long, thin objects"
根本,gēnběn,noun、adjective、 adverb,"foundation, root; fundamental; simply"
更换,gēnghuàn,verb,"to replace, to change"
更新,gēngxīn,verb,to update
公布,gōngbù,verb,"to announce, to make public"
工程,gōngchéng,noun,"project, engineering"
工程师,gōngchéngshī,noun,engineer
工具,gōngjù,noun,"tool, instrument"
功能,gōngnéng,noun,function
公平,gōngpíng,adjective,"fair, just"
公务员,gōngwùyuán,noun,civil servant
恭喜,gōngxǐ,verb,to congratulate
工业,gōngyè,noun,industry
工艺,gōngyì,noun,"craft, technology"
公寓,gōngyù,noun,apartment
贡献,gòngxiàn,verb、noun,to contribute; contribution
共享,gòngxiǎng,verb,to share
沟通,gōutōng,verb,to communicate
构成,gòuchéng,verb、noun,to constitute; composition
古,gǔ,adjective,ancient
鼓,gǔ,noun、verb、 adjective,"drum; to bulge, to swell, to encourage, to urge; bulging, plump"
古代,gǔdài,noun,ancient times
古老,gǔlǎo,adjective,ancient
鼓掌,gǔzhǎng,verb,to applaud
固定,gùdìng,verb,"to fix, to fasten"
故乡,gùxiāng,noun,hometown
挂号,guàhào,verb,to register for medical appointment
怪,guài,adjective、verb、 adverb,strange; to blame; quite
关闭,guānbì,verb,to close
观察,guānchá,verb,to observe
观点,guāndiǎn,noun,"viewpoint, opinion"
观念,guānniàn,noun,"concept, idea"
冠军,guànjūn,noun,champion
光临,guānglín,verb,to honor with one's presence
光明,guāngmíng,noun、adjective,"brightness; bright, light"
光线,guāngxiàn,noun,"light, ray"
广,guǎng,adjective,"wide, broad"
广场,guǎngchǎng,noun,"square, plaza"
广大,guǎngdà,adjective,"vast, extensive"
广泛,guǎngfàn,adjective,"extensive, widespread"
规律,guīlǜ,noun、adjective,"law, regular pattern; regular"
规模,guīmó,noun,"scale, size"
规则,guīzé,noun、adjective,"rule, regulation; regular"
贵姓,guìxìng,noun,your honor surname
柜子,guìzi,noun,"cupboard, cabinet"
滚,gǔn,verb,to roll
锅,guō,noun,pot
国画,guóhuà,noun,traditional Chinese painting
国庆,guóqìng,noun,National Day
果然,guǒrán,adverb,"indeed, as expected"
果实,guǒshí,noun,fruit
过度,guòdù,adjective,excessive
过分,guòfèn,adjective,"excessive, over the top"
过敏,guòmǐn,verb,to be allergic
过期,guòqī,verb,to expire
过于,guòyú,adverb,"too, excessively"
哈,hā,拟声、interjection,"ha, onomatopoeia for laughter"
海关,hǎiguān,noun,customs
海外,hǎiwài,noun,"overseas, abroad"
海鲜,hǎixiān,noun,seafood
含,hán,verb,to contain
含量,hánliàng,noun,content
含有,hányǒu,verb,to contain
汗水,hànshuǐ,noun,sweat
行,háng,noun、,"line, row; measure word for lines"
行业,hángyè,noun,industry
好评,hǎopíng,noun,"positive review, praise"
好运,hǎoyùn,noun,good luck
好转,hǎozhuǎn,verb,to take a turn for the better
好,hào,verb,"to like, to be fond of"
好奇,hàoqí,adjective,curious
合,hé,verb,"to close, to fit; to join"
合法,héfǎ,adjective,"legal, lawful"
盒饭,héfàn,noun,boxed meal
合理,hélǐ,adjective,"reasonable, rational"
河流,héliú,noun,river
合同,hétóng,noun,contract
合影,héyǐng,verb、noun,to take a group photo; group photo
合作,hézuò,verb,to cooperate
黑,hēi,adjective,black
红,hóng,adjective,red
猴子,hóuzi,noun,monkey
厚度,hòudù,noun,thickness
后果,hòuguǒ,noun,"consequence, aftermath"
忽视,hūshì,verb,"to overlook, to ignore"
呼吸,hūxī,verb,to breathe
湖,hú,noun,lake
蝴蝶,húdié,noun,butterfly
胡同,hútòng,noun,"hutong, alley"
互动,hùdòng,verb,to interact
户外,hùwài,noun,"outdoors, outdoor"
花费,huāfèi,verb,"to spend, to cost"
滑,huá,adjective、verb,slippery; to slide
划,huá,verb,"to row, to paddle"
化,huà,suffix、(verb),"suffix indicating change, transformation; (to change)"
话费,huàfèi,noun,"telephone bill, call charges"
画面,huàmiàn,noun,"scene, picture, screen"
话题,huàtí,noun,"topic, subject of discussion"
化学,huàxué,noun,chemistry
环节,huánjié,noun,"link, segment"
缓解,huǎnjiě,verb,"to ease, to alleviate"
缓慢,huǎnmàn,adjective,slow
黄瓜,huángguā,noun,cucumber
黄金,huángjīn,noun,gold
灰,huī,noun、adjective,"ash, gray; gray"
挥,huī,verb,"to wave, to wield"
恢复,huīfù,verb,"to recover, to restore"
灰色,huīsè,noun、adjective,"gray color; gray, ashen"
回收,huíshōu,verb,to recycle
汇率,huìlǜ,noun,exchange rate
婚礼,hūnlǐ,noun,wedding ceremony
伙,huǒ,,measure word for groups
伙伴,huǒbàn,noun,"companion, partner"
火锅,huǒguō,noun,hot pot
或是,huòshì,adverb、 conjunction,or; either... or...
货物,huòwù,noun,goods
或许,huòxǔ,adverb,"perhaps, maybe"
机构,jīgòu,noun,"organization, institution"
激烈,jīliè,adjective,"fierce, intense"
机器,jīqì,noun,machine
机器人,jīqìrén,noun,robot
肌肉,jīròu,noun,muscle
及,jí,conjunction,"and, as well as"
级,jí,noun、,"level, grade; measure word for steps"
集,jí,noun、,"collection, volume; measure word for episodes"
疾病,jíbìng,noun,disease
及格,jígé,verb,to pass an exam
集合,jíhé,verb,"to gather, to assemble"
即将,jíjiāng,adverb,"soon, about to"
急忙,jímáng,adverb,"hurriedly, hastily"
极其,jíqí,adverb,extremely
集体,jítǐ,noun,"collective, group"
急需,jíxū,verb,to urgently need
急诊,jízhěn,verb、noun,to do emergency treatment; emergency case
集中,jízhōng,verb、adjective,to concentrate; concentrated
挤,jǐ,verb、adjective,"to crowd, to squeeze; crowded"
系,jì,verb,"to tie, to fasten"
季度,jìdù,noun,quarter (of a year)
记录,jìlù,verb、noun,to record; record
纪录,jìlù,noun,record as in achievement
纪录片,jìlùpiàn,noun,documentary
技能,jìnéng,noun,skill
纪念,jìniàn,verb、noun,"to commemorate; commemoration, souvenir"
纪念日,jìniànrì,noun,anniversary
计算,jìsuàn,verb,to calculate
计算机,jìsuànjī,noun,computer
记忆,jìyì,verb、noun,to remember; memory
记载,jìzǎi,verb,to record
嘉宾,jiābīn,noun,"guest, honored guest"
家电,jiādiàn,noun,household appliances
加工,jiāgōng,verb,to process
加热,jiārè,verb,to heat
加深,jiāshēn,verb,to deepen
加速,jiāsù,verb,to speed up
家务,jiāwù,noun,household chores
甲,jiǎ,noun,first; armor
假如,jiǎrú,conjunction,if
架,jià,noun、verb、,"shelf, frame; to fight; measure word for planes, etc."
驾驶,jiàshǐ,verb,to drive
驾照,jiàzhào,noun,driver's license
价值,jiàzhí,noun,value
艰苦,jiānkǔ,adjective,"arduous, difficult"
坚强,jiānqiáng,adjective,"strong, steadfast"
捡,jiǎn,verb,to pick up
剪,jiǎn,verb,to cut
剪刀,jiǎndāo,noun,scissors
减肥,jiǎnféi,verb,to lose weight
简历,jiǎnlì,noun,"resume, CV"
简直,jiǎnzhí,adverb,"simply, absolutely"
建,jiàn,verb,to build
键,jiàn,noun,"key (on keyboard), button"
渐渐,jiànjiàn,adverb,gradually
建立,jiànlì,verb,to establish
键盘,jiànpán,noun,keyboard
建设,jiànshè,verb,"to construct, to build"
建造,jiànzào,verb,"to construct, to build"
建筑,jiànzhù,verb、noun,"to build; building, architecture"
将近,jiāngjìn,adverb,"almost, nearly"
讲话,jiǎnghuà,noun,speech
讲究,jiǎngjiu,verb、adjective,"to be particular about; exquisite, refined"
奖励,jiǎnglì,verb,"to reward, to award"
讲述,jiǎngshù,verb,"to narrate, to tell"
讲座,jiǎngzuò,noun,"lecture, seminar"
降水,jiàngshuǐ,verb,"to have precipitation, to precipitate"
浇,jiāo,verb,"to water, to pour"
交换,jiāohuàn,verb,to exchange
交往,jiāowǎng,verb,"to associate, to interact"
交易,jiāoyì,verb、noun,"to trade; transaction, deal"
脚步,jiǎobù,noun,"footstep, step"
角度,jiǎodù,noun,angle
较,jiào,preposition、 adverb,"than; relatively, comparatively"
教材,jiàocái,noun,teaching materials
接触,jiēchù,verb,to contact
接待,jiēdài,verb,"to receive (guests), to host"
阶段,jiēduàn,noun,"stage, phase"
接近,jiējìn,verb,"to approach, to get close to"
接收,jiēshōu,verb,to receive
结,jié,verb、noun,"to tie, to knot; result"
结构,jiégòu,noun,structure
结合,jiéhé,verb,"to combine, to unite"
结论,jiélùn,noun,conclusion
节省,jiéshěng,verb,"to save, to economize"
届,jiè,,"measure word for sessions, terms"
今日,jīnrì,noun,today
紧,jǐn,adjective、verb,tight; to tighten
紧急,jǐnjí,adjective,"urgent, critical"
尽快,jǐnkuài,adverb,as soon as possible
尽量,jǐnliàng,adverb,to the best of one's ability
紧密,jǐnmì,adjective,"close, tight"
谨慎,jǐnshèn,adjective,"cautious, prudent"
进步,jìnbù,verb、adjective,"to advance, to improve; progress, improvement"
近代,jìndài,noun,modern times
进又,jìnkǒu,verb,to import
尽力,jìnlì,verb,to do one's best
近年来,jìnnián lái,,in recent years
近期,jìnqī,noun,recent period
近日,jìnrì,noun,"recently, in recent days"
进一步,jìnyíbù,adverb,further
经典,jīngdiǎn,noun、adjective,classic; classical
精力,jīnglì,noun,"energy, vigor"
精神,jīngshen,noun、adjective,"spirit, mind; mental, lively"
惊喜,jīngxǐ,adjective,"pleasant surprise, delight"
经营,jīngyíng,verb,"to manage, to operate"
静,jìng,adjective、verb,"quiet, still; to become quiet"
酒吧,jiǔbā,noun,bar
久远,jiǔyuǎn,adjective,"long, remote, far-reaching"
救,jiù,verb,"to save, to rescue"
救护车,jiùhùchē,noun,ambulance
就业,jiùyè,verb,"to get a job, to be employed"
居民,jūmín,noun,resident
居然,jūrán,adverb,unexpectedly
居住,jūzhù,verb,"to live, to reside"
橘子,júzi,noun,orange
据,jù,preposition,"according to, based on"
距,jù,verb,"to be apart from, to distance"
具备,jùbèi,verb,"to possess, to have"
剧场,jùchǎng,noun,theater
巨大,jùdà,adjective,"huge, enormous"
据说,jùshuō,verb,"it is said, reportedly"
具体,jùtǐ,adjective、verb,"concrete, specific; to embody"
具有,jùyǒu,verb,"to have, to possess"
捐,juān,verb,to donate
绝对,juéduì,adjective、adverb,absolute; absolutely
决赛,juésài,verb、noun,to compete in a final; final match
角色,juésè,noun,"role, character"
决心,juéxīn,noun、verb,"determination, resolve; to be determined"
开发,kāifā,verb,to develop
开放,kāifàng,verb、adjective,to open; open
开幕,kāimù,verb,to open a ceremony or exhibition
开幕式,kāimùshì,noun,opening ceremony
开水,kāishuǐ,noun,boiled water
开通,kāitōng,verb,to open service or line
开业,kāiyè,verb,to open for business
开展,kāizhǎn,verb,"to develop, to carry out"
看,kān,verb,"to look after, to watch"
看望,kànwàng,verb,to visit
看作,kànzuò,verb,"to regard as, to consider as"
靠,kào,verb,"to lean on, to rely on, to be close to"
靠近,kàojìn,verb,"to approach, to get close to"
